gid,name,inn,website,city,address
58a49494-b44e-5b2f-9263-0ce9005f10e3,ДНК-Технология,7723537840,dna-technology.ru,Москва,"117587, г. Москва, вн. тер. г. муниципальный округ Чертаново Северное, Варшавское шоссе, д. 125Ж, корп. 5, этаж 1, пом. 12"
79ef90eb-b1bc-547f-9121-003d2b620b71,Компания Хеликон,,helicon.ru,Москва,"121374 Москва, Кутузовский проспект, д.88, 5 этаж"
eec22f30-33db-5b8f-b7b4-2ab261ee67d5,Центр специализированной медицинской помощи детям имени В.Ф. Войно-Ясенецкого,7731147890,,,
9eafe350-6460-59f1-a7e5-12056b76f61d,ООО Экомед,,,Красноярск,
8977c8c4-1bbf-5db2-9988-c4703a2743b1,МСЧ Клиницист-Клиника Претор,,,Новосибирск,
033f9b49-657b-5fe5-b086-7fa8eb77efff,Сибдиамед,,,,
941277e9-82a4-590a-ab3b-be08f9db30e9,АгроДиагностика,7721531360,,Москва,"117587, Москва г, муниципальный округ Чертаново Северное, Варшавское ш, д. 125Ж, корп.6, этаж 3, пом.5"
ac12ae29-7a6b-5c7b-858d-0c26108cfc88,Центр гигиены и эпидемиологии в Алтайском крае,2225068322,,Барнаул,"656049, Алтайский край, Барнаул г, Радищева пер, дом № 50"
d96503ac-116d-5310-811d-9c092b922506,ООО МЦ ДНК,1901074000,,Абакан,
dc827ae5-f14c-5fa1-8397-e0c32aa5757a,МИЛЛАБ,,millab.ru,,
d5fe73ec-73c1-5eb7-8af0-0278a764a70e,ФБУЗ Центр Гигиены и Эпидемиологии в Республике Хакасия,1901066506,,Абакан,
ef485f15-63ee-5569-bf4d-c62b0ab12067,МЕД КОНГРЕСС,,medcongress.ru,Новосибирск,ул. Красина 43
25eab71a-64f5-5bdb-a3e6-0f9667ab4b3d,ООО Агрохим,,,Казань,"420073, г. Казань, ул. Седова 2В каб 302"
