city,region,region_type,federal_district,capital_marker,population,timezone,geo_lat,geo_lon
Адыгейск,Адыгея,Респ,Южный,0,12689,UTC+3,44.878414,39.190289
Майкоп,Адыгея,Респ,Южный,2,144055,UTC+3,44.6098268,40.1006606
Горно-Алтайск,Алтай,Респ,Сибирский,2,62861,UTC+7,51.9581028,85.9603235
Алейск,Алтайский,край,Сибирский,0,28528,UTC+7,52.4922513,82.7793606
Барнаул,Алтайский,край,Сибирский,2,635585,UTC+7,53.3479968,83.7798064
Белокуриха,Алтайский,край,Сибирский,0,15072,UTC+7,51.996152,84.9839604
Бийск,Алтайский,край,Сибирский,0,203826,UTC+7,52.5393864,85.2138453
Горняк,Алтайский,край,Сибирский,1,13040,UTC+7,50.9979622,81.4643358
Заринск,Алтайский,край,Сибирский,0,47035,UTC+7,53.7063476,84.9315081
Змеиногорск,Алтайский,край,Сибирский,1,10569,UTC+7,51.1581094,82.1872547
Камень-на-Оби,Алтайский,край,Сибирский,1,41787,UTC+7,53.7913974,81.3545053
Новоалтайск,Алтайский,край,Сибирский,0,73134,UTC+7,53.4119759,83.9311069
Рубцовск,Алтайский,край,Сибирский,0,146386,UTC+7,51.5012067,81.2078695
Славгород,Алтайский,край,Сибирский,0,30370,UTC+7,52.999463,78.6459232
Яровое,Алтайский,край,Сибирский,0,18085,UTC+7,52.9252146,78.5729775
Белогорск,Амурская,обл,Дальневосточный,0,68220,UTC+9,50.9213415,128.4739471
Благовещенск,Амурская,обл,Дальневосточный,2,214397,UTC+9,50.290659,127.527198
Завитинск,Амурская,обл,Дальневосточный,1,11481,UTC+9,50.1064111,129.4391813
Зея,Амурская,обл,Дальневосточный,0,25042,UTC+9,53.7340088,127.265787
Райчихинск,Амурская,обл,Дальневосточный,0,20499,UTC+9,49.7941615,129.4112492
Свободный,Амурская,обл,Дальневосточный,0,58594,UTC+9,51.3614103,128.1219729
Сковородино,Амурская,обл,Дальневосточный,1,9561,UTC+9,53.9871095,123.9437205
Тында,Амурская,обл,Дальневосточный,0,35574,UTC+9,55.1546441,124.7468904
Циолковский,Амурская,обл,Дальневосточный,0,6208,UTC+9,51.762481,128.1219846
Шимановск,Амурская,обл,Дальневосточный,0,19815,UTC+9,52.0051886,127.7005458
Архангельск,Архангельская,обл,Северо-Западный,2,348716,UTC+3,64.5394289,40.5169606
Вельск,Архангельская,обл,Северо-Западный,1,23885,UTC+3,61.066,42.1032789
Каргополь,Архангельская,обл,Северо-Западный,1,10148,UTC+3,61.5009724,38.9636966
Коряжма,Архангельская,обл,Северо-Западный,0,39629,UTC+3,61.2885948,47.1003015
Котлас,Архангельская,обл,Северо-Западный,1,60562,UTC+3,61.2528972,46.633242
Мезень,Архангельская,обл,Северо-Западный,1,3599,UTC+3,65.8398078,44.2532273
Мирный,Архангельская,обл,Северо-Западный,0,30259,UTC+3,62.7645265,40.3360076
Новодвинск,Архангельская,обл,Северо-Западный,0,40612,UTC+3,64.4136851,40.8208143
Няндома,Архангельская,обл,Северо-Западный,1,22354,UTC+3,61.6654674,40.2062947
Онега,Архангельская,обл,Северо-Западный,1,21359,UTC+3,63.9162928,38.0805031
Северодвинск,Архангельская,обл,Северо-Западный,0,192265,UTC+3,64.5625385,39.8180934
Сольвычегодск,Архангельская,обл,Северо-Западный,0,2460,UTC+3,61.3319616,46.920441
Шенкурск,Архангельская,обл,Северо-Западный,1,5702,UTC+3,62.1057272,42.8996973
Астрахань,Астраханская,обл,Южный,2,520662,UTC+4,46.3655652,48.0559236
Ахтубинск,Астраханская,обл,Южный,1,41898,UTC+4,48.2752034,46.1906462
Знаменск,Астраханская,обл,Южный,0,29357,UTC+4,48.5866291,45.7368019
Камызяк,Астраханская,обл,Южный,1,16291,UTC+4,46.110579,48.07333
Нариманов,Астраханская,обл,Южный,1,11386,UTC+4,46.6916565,47.8502476
Харабали,Астраханская,обл,Южный,1,18209,UTC+4,47.408999,47.2525345
Агидель,Башкортостан,Респ,Приволжский,0,16365,UTC+5,55.8999056,53.9220144
Баймак,Башкортостан,Респ,Приволжский,1,17710,UTC+5,52.5912896,58.3110998
Белебей,Башкортостан,Респ,Приволжский,1,60183,UTC+5,54.1034582,54.1113129
Белорецк,Башкортостан,Респ,Приволжский,1,68804,UTC+5,53.9676488,58.4100419
Бирск,Башкортостан,Респ,Приволжский,1,41637,UTC+5,55.4155753,55.5582214
Благовещенск,Башкортостан,Респ,Приволжский,1,34246,UTC+5,55.0499867,55.9553186
Давлеканово,Башкортостан,Респ,Приволжский,1,24040,UTC+5,54.2226707,55.0312373
Дюртюли,Башкортостан,Респ,Приволжский,1,31272,UTC+5,55.4848318,54.8524765
Ишимбай,Башкортостан,Респ,Приволжский,1,66259,UTC+5,53.4545764,56.0438751
Кумертау,Башкортостан,Респ,Приволжский,0,62854,UTC+5,52.7564939,55.7970197
Межгорье,Башкортостан,Респ,Приволжский,0,17353,UTC+5,54.2397689,57.9614547
Мелеуз,Башкортостан,Респ,Приволжский,1,61408,UTC+5,52.9589532,55.9282838
Нефтекамск,Башкортостан,Респ,Приволжский,0,121757,UTC+5,56.088377,54.2483061
Октябрьский,Башкортостан,Респ,Приволжский,0,109379,UTC+5,54.4815311,53.4655972
Салават,Башкортостан,Респ,Приволжский,0,156085,UTC+5,53.3616974,55.9245224
Сибай,Башкортостан,Респ,Приволжский,0,62732,UTC+5,52.7204651,58.6663783
Стерлитамак,Башкортостан,Респ,Приволжский,1,273432,UTC+5,53.6300864,55.9317089
Туймазы,Башкортостан,Респ,Приволжский,1,66849,UTC+5,54.5999224,53.6950623
Уфа,Башкортостан,Респ,Приволжский,2,1062300,UTC+5,54.734944,55.9578468
Учалы,Башкортостан,Респ,Приволжский,1,37771,UTC+5,54.3067375,59.4125461
