# 📄 Файл: 20250812_dna-technology_ru_460a2f15_155945_attach_ДТпрайм II.xlsx
# ⚙️ Метод: local_xlsx
# ✨ Уверенность: 100.00%
# ⏱️ Время: 0.00 сек
# ==================================================

ПРОДАЖА |  |  |  |  |  |  | 
№ прибора | Посредник | Конечный пользователь |  |  |  |  | 
ДТпрайм II 5М1 |  |  |  |  |  |  | 
A5L009 | Синтол |  МВД ПО РЕСПУБЛИКЕ КАЛМЫКИЯ |  |  |  |  | 
R5L904 | Синтол | Синтол, своё подразделение |  |  |  |  | 
R5N324 | Синтол | БСМЭ по Красноярскому краю, г. Красноярск |  |  |  |  | 
R5N433 | Синтол | ЭКЦ МВД по респ-ке Калмыкия, г. Элиста |  |  |  |  | 
R5N431 | Синтол | ГУ МВД России по Красноярскому краю, г. Красноярск |  |  |  |  | 
R5N434, R5N342 | Синтол | Синтол, своё подразделение |  |  |  |  | 
R5N328, R5N528 | Сонографи | ФГКУ ГКВГ, г. Голицыно |  |  |  |  | 
R5L922, R5N344, R5N407 | СП ПРОФИЛАБ | ЦГСН Москва ФБУЗ Роспотребнадзор, г. Москва |  |  |  |  | 
R5N532 | Синтол | Москва В/Ч 34435 |  |  |  |  | 
ДТпрайм II 5М6 |  |  |  |  |  |  | 
R5L916 | Евроген | Евроген,  |  |  |  |  | 
ДТпрайм II 6М1 |  |  |  |  |  |  | 
R5L924 | СП Диаваб | ФБУЗ "Центр Гигиены и Эпидемиологии в Санкт-Петербурге и Ленинградской области"  |  |  |  |  | 
 |  |  |  |  |  |  | 
 |  |  |  |  |  |  | 
 |  |  |  |  |  |  | 
АПРОБАЦИЯ |  |  |  |  |  |  | 
№ прибора | Посредник | Конечный пользователь |  |  |  |  | 
 |  | Кахань МКДЦ |  |  |  |  | 
 |  |  |  |  |  |  | 
 |  | Москва КДЛ ТЕст |  |  |  |  | 
 |  |  |  |  |  |  | 
 |  | Москва Колопроктологии |  |  |  |  | 
 |  |  |  |  |  |  | 
 |  | Москва АГП Кулакова |  |  |  |  | 
 |  |  |  |  |  |  | 
 |  | Ярославль Обл. Инф. больницы |  |  |  |  |
